Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
SIF,SIFCO Industries Inc. Common Stock,$8.12,-0.34,-4.019%,48388939.00,United States,,15230,Capital Goods,Aerospace
SILV,SilverCrest Metals Inc. Common Shares,$8.30,-0.35,-4.046%,1198171101.00,,2018,2763167,Basic Industries,Precious Metals
SIM,Grupo Simec S.A.B. de C.V. American Depositary Shares,$13.10,0.00,0.00%,2173330230.00,Mexico,1993,960,Basic Industries,Steel/Iron Ore
SMTS,Sierra Metals Inc. Common Stock,$2.65,-0.16,-5.694%,431420000.00,,,528539,Basic Industries,Precious Metals
SNMP,Sanchez Midstream Partners LP Common Stock,$1.15,-0.01,-0.862%,48563061.00,United States,,566959,Energy,Oil & Gas Production
SSY,SunLink Health Systems Inc. Common Stock,$1.80,0.01,0.559%,12418778.00,United States,,395423,Health Care,Hospital/Nursing Management
STXS,Stereotaxis Inc. Common Stock,$7.00,-0.46,-6.166%,515799403.00,United States,,1223399,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
SVM,Silvercorp Metals Inc. Common Shares,$5.83,-0.43,-6.869%,1022338376.00,,,2429615,Basic Industries,Precious Metals
SVT,Servotronics Inc. Common Stock,$8.71,-0.19,-2.135%,21674199.00,United States,,768,Capital Goods,Industrial Machinery/Components
SYN,Synthetic Biologics Inc. Common Stock,$0.6734,-0.0167,-2.42%,48946089.00,United States,,10394232,Health Care,Major Pharmaceuticals
TGB,Taseko Mines Ltd. Common Stock,$1.66,-0.16,-8.791%,463479281.00,Canada,,4805936,Basic Industries,Precious Metals
TGC,Tengasco Inc. Common Stock,$2.47,-1.23,-33.243%,26392054.00,United States,,3180982,Energy,Oil & Gas Production
THM,International Tower Hill Mines Ltd. Ordinary Shares (Canada),$1.11,-0.08,-6.723%,216348084.00,Canada,,774524,Basic Industries,Precious Metals
TKAT,Takung Art Co. Ltd. Common Stock,$3.12,0.02,0.645%,35166702.00,,,92896,Consumer Services,Other Specialty Stores
TMBR,Timber Pharmaceuticals Inc. Common Stock,$1.80,-0.14,-7.216%,21328256.00,United States,2015,4327408,Health Care,Major Pharmaceuticals
TMP,Tompkins Financial Corporation Common Stock,$77.33,-1.92,-2.423%,1147541628.00,United States,,48174,Finance,Major Banks
TMQ,Trilogy Metals Inc. Common Stock,$2.15,-0.03,-1.376%,309999317.00,Canada,,1021462,Basic Industries,Precious Metals
TPHS,Trinity Place Holdings Inc. Common Stock,$2.23,-0.25,-10.081%,71743799.00,,,34326,Consumer Services,Building operators
TRT,Trio-Tech International Common Stock,$5.39,0.09,1.698%,19999891.00,United States,,82127,Technology,Industrial Machinery/Components
